社内品番,日付,ライン,品名,計画数,生産数,差異,シフト,休憩,段取,修理,鋸刃交換,ロス停止昼,ロス時間夜,見えないロス停止,計画停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率,設備記録時間１,設備記録時間2,60,,,実記録切断,差異,実記録面取,差異,面取段取り,,成形加工日
92331,4/2,切断01,960B RR,"2,282","2,282",,5.08,,0.08,,,,,0.16,,5.08 ,5.00 ,21.18%,98.37%,"2,282",456.4,,290.3,4.84,,,,,,,,,
92441,4/2,切断01,310D CTR,"2,934","2,934",,6.25,,0.08,,0.25,,,0.36,0.25,6.00 ,5.67 ,25.00%,94.45%,"2,934",517.7,,318.2,5.30,,,,,,,,,
92441,4/2,切断01,310D CTR,"2,934","2,934",,6.43,,0.08,,0.25,,0.25,0.51,,6.43 ,5.85 ,26.80%,90.94%,"2,934",501.5,,320.26,5.34,,,,,,,,,
91881,4/2,切断01,800B CTR,"1,530","1,530",,3.23,,0.05,,0.25,,,0.12,,3.23 ,2.93 ,13.47%,90.72%,"1,530",521.7,,168.86,2.81,,,,,,,,,
92431,4/2,切断02,410D RR,"1,590","1,590",,2.83,,,,,,,0.22,,2.83 ,2.83 ,11.80%,100.00%,"1,590",561.2,,156.56,2.61,,,,,,,,,
92431,4/2,切断02,410D RR,"2,934","2,934",,5.83,,,,0.25,,,-0.06,0.25,5.58 ,5.33 ,23.26%,95.52%,"2,934",550.2,,323.35,5.39,,,,,,,,,
91441,4/2,切断02,400B FR,"2,282","2,282",,5.08,,0.08,,0.25,,0.42,0.53,,5.08 ,4.33 ,21.18%,85.26%,"2,282",526.5,,228.03,3.80,,,,,,,,,
91441,4/2,切断02,400B FR,"2,282","2,282",,5.73,,0.05,,0.25,,,-0.21,,5.73 ,5.43 ,23.89%,94.77%,"2,282",420.0,,338.53,5.64,,,,,,,,,
91441,4/2,切断02,400B FR,"1,990","1,990",,4.52,,0.05,,0.25,0.33,,0.51,,4.52 ,3.88 ,18.82%,85.98%,"1,990",512.5,,202.5,3.38,,,,,,,,,
92381,4/2,切断03,5A45 X1,"1,902","1,902",,4.42,,,,0.25,,,-0.16,,4.42 ,4.17 ,18.40%,94.34%,"1,902",456.6,,259.31,4.32,,,,,,,,,
,4/2,切断03,CH2 RR,"4,000","4,000",,7.57,,0.17,,,,,-0.09,0.25,7.32 ,7.15 ,30.48%,97.73%,"4,000",559.4,,434.21,7.24,,,,,,,,,
91001,4/2,切断03,HR3 ENCAP,"1,956","1,956",,5.73,,0.35,,,,0.67,0.60,,5.73 ,4.72 ,23.89%,82.28%,"1,956",414.7,,247.2,4.12,,,,,,,,,
