社内品番,日付,ライン,品名,生産計画数,生産数,不良数,シフト,残業,段取,修理,調整,休憩,対応待ち（残業中未復旧）,停止時間(計画停止),作業すべき時間,作業時間,稼働率,作業率,能率,段取・調整,黄箱品,60,
92481,4/1,成型24号,155D RR,"2,300","1,740",,18.00,,,,0.15,1.67,,,16.33 ,16.18 ,68.04%,99.08%,107.5,,,971,16.18
91931,4/2,成型01号,670B 3RD SIDE,"3,387","3,605",1,18.00,6.00,,,,2.00,,,22.00 ,22.00 ,91.67%,100.00%,163.9,,,1320,22.00
91461,4/2,成型02号,400B CTR,"3,195","3,407",,18.00,6.00,,,0.25,2.00,,,22.00 ,21.75 ,91.67%,98.86%,156.6,,,1305,21.75
91791,4/2,成型03号,GC7 CTR,"1,729","1,881",,18.00,,,,0.01,1.67,,,16.33 ,16.32 ,68.04%,99.94%,115.3,,,979,16.32
91441,4/2,成型04号,400B FR,"1,928","2,007",,18.00,,,,0.09,2.33,,,15.67 ,15.58 ,65.29%,99.43%,128.8,,,935,15.58
92221,4/2,成型05号,900B FR,"2,524","2,430",,17.00,,,,0.05,2.67,,,14.33 ,14.28 ,59.71%,99.65%,170.2,,,857,14.28
91011,4/2,成型06号,HR3 JP,"1,298","2,039",,13.50,6.00,,,0.33,2.00,,,17.50 ,17.17 ,72.92%,98.11%,118.8,,,1030,17.17
90931,4/2,成型06号,NB8 EURO,753,,,4.50,,3.50,,,1.00,,,3.50 ,,14.58%,,,10,,,
92071,4/2,成型07号,030A SIDE,"1,912","1,919",,17.00,,,,0.36,2.67,,,14.33 ,13.97 ,59.71%,97.49%,137.4,,,838,13.97
92381,4/2,成型08号,5A45 X1,"1,086","1,304",1,18.00,2.00,,,,2.33,,,17.67 ,17.67 ,73.63%,100.00%,73.8,,,1073,17.88
92201,4/2,成型09号,970B 3RD,"1,148","1,112",2,17.00,,,,0.13,2.67,,,14.33 ,14.20 ,59.71%,99.09%,78.3,,,852,14.20
92181,4/2,成型10号,050D CTR,"1,724","1,200",,9.33,,,,0.31,1.50,,,7.83 ,7.52 ,32.63%,96.04%,159.6,,,451,7.52
92131,4/2,成型10号,032D CTR,696,"1,180",,8.67,,0.67,,0.21,1.17,,,7.50 ,6.62 ,31.25%,88.27%,178.2,1,,397,6.62
92331,4/2,成型11号,960B RR,"3,378","3,395",,18.00,6.00,,,0.08,1.00,,,23.00 ,22.92 ,95.83%,99.65%,148.1,,,1375,22.92
92091,4/2,成型12号,900B 対米,"1,822","1,826",2,18.00,,1.83,,0.12,2.50,,,15.50 ,13.55 ,64.58%,87.42%,134.8,4,,813,13.55
92021,4/2,成型13号,840B CTR,"1,361","1,450",,11.00,4.00,,,0.18,0.50,,,14.50 ,14.32 ,60.42%,98.76%,101.3,,,859,14.32
92011,4/2,成型13号,840B 2ND CTR,608,339,,7.00,,1.48,,1.42,0.17,,,6.83 ,3.93 ,28.46%,57.54%,86.3,1,,236,3.93
92691,4/2,成型14号,655D 3RD CTR,"1,346","1,327",,18.00,,,,0.33,2.67,,,15.33 ,15.00 ,63.88%,97.85%,88.5,,,900,15.00
92231,4/2,成型15号,900B RR,"2,112","2,021",,13.00,,0.08,,0.30,1.50,,,11.50 ,11.12 ,47.92%,96.70%,181.7,,,,
90741,4/2,成型15号,740A RR,455,770,,5.00,,,,,1.00,,,4.00 ,4.00 ,16.67%,100.00%,192.5,,,907,15.12
92111,4/2,成型16号,990B RR,"2,190","1,907",,18.00,6.00,,,1.23,2.00,,,22.00 ,20.77 ,91.67%,94.41%,91.8,,,1246,20.77
91441,4/2,成型17号,400B FR,"2,020","1,993",,18.00,,,,0.63,2.67,,,15.33 ,14.70 ,63.88%,95.89%,135.6,,,882,14.70
91681,4/2,成型18号,D54L RR,"2,684","2,817",,18.00,6.00,,,0.22,2.00,,,22.00 ,21.78 ,91.67%,99.00%,129.3,,,1307,21.78
91111,4/2,成型19号,TTA,,256,,2.00,,,,0.05,0.17,,,1.83 ,1.78 ,7.63%,97.27%,143.8,,,107,1.78
92441,4/2,成型20号,310D CTR,"3,046","2,944",,18.00,6.00,,,0.25,3.00,,,21.00 ,20.75 ,87.50%,98.81%,141.9,,,1245,20.75
